umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.6,0.973174714252391,0.8333333333333334,0.2980132450331126,0.43902439024390244,0.36980015276995626,0.7656195959880616,4127,9,106,45,54,1069,MLP regularizada
0.605,0.973174714252391,0.8333333333333334,0.2980132450331126,0.43902439024390244,0.36980015276995626,0.7656195959880616,4127,9,106,45,54,1069,MLP regularizada
0.61,0.973174714252391,0.8333333333333334,0.2980132450331126,0.43902439024390244,0.36980015276995626,0.7656195959880616,4127,9,106,45,54,1069,MLP regularizada
0.615,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.62,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.625,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.63,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.635,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.64,0.9734079776067179,0.8490566037735849,0.2980132450331126,0.4411764705882353,0.36980015276995626,0.7656195959880616,4128,8,106,45,53,1068,MLP regularizada
0.645,0.9729414508980639,0.8431372549019608,0.2847682119205298,0.42574257425742573,0.36980015276995626,0.7656195959880616,4128,8,108,43,51,1088,MLP regularizada
0.65,0.973174714252391,0.86,0.2847682119205298,0.42786069651741293,0.36980015276995626,0.7656195959880616,4129,7,108,43,50,1087,MLP regularizada
0.655,0.973174714252391,0.86,0.2847682119205298,0.42786069651741293,0.36980015276995626,0.7656195959880616,4129,7,108,43,50,1087,MLP regularizada
0.66,0.973174714252391,0.86,0.2847682119205298,0.42786069651741293,0.36980015276995626,0.7656195959880616,4129,7,108,43,50,1087,MLP regularizada
0.665,0.973174714252391,0.86,0.2847682119205298,0.42786069651741293,0.36980015276995626,0.7656195959880616,4129,7,108,43,50,1087,MLP regularizada
0.67,0.973174714252391,0.86,0.2847682119205298,0.42786069651741293,0.36980015276995626,0.7656195959880616,4129,7,108,43,50,1087,MLP regularizada
0.675,0.9729414508980639,0.8571428571428571,0.2781456953642384,0.42,0.36980015276995626,0.7656195959880616,4129,7,109,42,49,1097,MLP regularizada
0.68,0.9729414508980639,0.8571428571428571,0.2781456953642384,0.42,0.36980015276995626,0.7656195959880616,4129,7,109,42,49,1097,MLP regularizada
0.685,0.9722416608350828,0.8478260869565217,0.2582781456953642,0.39593908629441626,0.36980015276995626,0.7656195959880616,4129,7,112,39,46,1127,MLP regularizada
